名称,详情页链接,评分,评论数,信息,图片链接,introduction,opening_hours
徐州乐园加勒比水世界,https://you.ctrip.com/sight/xuzhou230/116582.html,4.5,(1878),徐州市泉山区云龙湖风景区玉带大道9号,https://dimg04.c-ctrip.com/images/0100n120008thsoihE0DD_C_220_140.jpg,徐州乐园加勒比水世界融入神秘的加勒比主题，汇聚知名水上游乐设施，由加勒比海湾区、动感水世界区、温泉SPA区和综合休闲区四大戏水区域组成，是夏季玩水圣地。水世界中有游乐设施十余个，如翻江倒海的加勒比旋风滑梯、高达20米令人心跳不止 的“巴博萨风暴”滑道、体验高速离心旋转的鲸鱼油灯塔滑梯、浪潮汹涌的加勒比海浪池、穿越奇幻与未知的漂流河、享受梦幻惬意的避风湾SPA区和温泉区等，无不让游客在现实与远古亦真亦幻的交织中领略大海般的宽广神秘，感受视、听、触、味全方位立体震撼，在极限动感与静逸休闲中尽享夏日水上狂欢。,06/03-06/20 10:00-18:00开放;06/21-08/31 09:00-22:00开放;05/31-06/02 09:00-19:00开放，夜场票入园时间为15点后。6.3-6.20无夜场。
徐州大景山滑雪场,https://you.ctrip.com/sight/xuzhou230/1508650.html,4.2,(472),江苏省徐州市贾汪区山水大道26号,https://dimg04.c-ctrip.com/images/0102i120008e3iyr5E5EF_C_220_140.jpg,徐州贾汪大景山滑雪场坐落于贾汪山水大道中段右侧，目前是徐州地区规模较大、设施较先进、雪道种类相对齐全的滑雪度假区。滑雪场内设置高、中、初级雪道等设施，以满足不同年龄层次和不同水平的游客，雪道总长1000米，造雪覆盖量相当之大，滑雪季日均接待能力高达6000人次以上，奠定了徐州滑雪场地位。玩法攻略滑雪需注意安全，场地开阔，可以开发各种玩法。如果不是很会滑雪，景区内有教练，可以提供教授服务，教得很细致，包教包会，会了以后你一定会爱上滑雪的。山上的雪厚重结实，需要穿上专业的滑雪工具，否则鞋子可能湿透，雪鞋较为厚重，不过具有很好的保护作用。景区内有别墅住宿，如果条件允许，可以在景区内住一晚，这样可以看见一天中每个时间的雪景，也可以玩个够。景区大厅有售小吃和西餐，食堂也提供点餐服务，如果对饮食要求较为挑剔，可以自带餐食。,01/20-01/27 08:30-20:30开放;01/28 08:30-17:00开放;01/29-02/09 08:30-20:30开放;02/10-02/23 08:30-17:00开放
徐州海底世界,https://you.ctrip.com/sight/xuzhou230/2510943.html,4.1,(353),徐州市泉山区解放南路26-8号三胞国际广场B1,https://dimg04.c-ctrip.com/images/01025120008cp7d5yC517_C_220_140.jpg,徐州海底世界是一座科普教育体验式现代化海洋馆，位于三胞国际广场，场馆面积7000平方米，储水量3800吨。馆内展示有极地动物白鲸、海底隧道、鲨鱼、海洋生物宴会厅、企鹅、海洋SPA、多媒体互动、海底婚纱摄影等。我们将会把海洋科普知识生动传递给每一位热爱海洋的人们，带给人们一场神秘而美妙的海底艺术盛会。,"全年 10:00-18:00开放，演出时刻：
11:00   海狮表演
11:30   人鲨共舞
12:00   美人鱼表演
14:00   海狮表演
15:00   大洋池喂食秀
16:00   美人鱼表演
17:00   海狮表演"
徐州市回龙窝历史文化街区,https://you.ctrip.com/sight/xuzhou230/5686355.html,4.7,(34),江苏省徐州市云龙区解放路8号,https://dimg04.c-ctrip.com/images/0105u120009cdkogg2498_C_220_140.jpg,徐州市回龙窝历史文化街区是一个仿古建筑的老街，有许多小吃，商业氛围较浓。,全年 全天开放
马陵山风景名胜区,https://you.ctrip.com/sight/xinyi1064/109919.html,4.5,(364),江苏省徐州市新沂市马陵山镇G235西600米,https://dimg04.c-ctrip.com/images/100r1f000001gor5d2D01_C_220_140.jpg,马陵山是一条绵延几十公里的低山丘陵，战国时齐国孙膑战胜魏国庞涓的马陵之战发生在临沂市郯城县的马陵山（北马陵），此处所指的马陵山（南马陵）位于新沂市南郊，清乾隆帝下江南时曾路经这里。新沂的马陵山为丹霞地貌，带来了淡红色的山体和许多岩洞，拥有大片竹林，丘陵与湖泊错落，湖上有需付费的游船坐，风景秀丽，适合周末休闲、爬山。马陵山不高，要爬几个小山头，和乾隆相关的遗迹散布在山道边。景区里多岔路，每个岔路口都有指示牌。进入景区东边的山门，在第一江山刻石前遇岔路，往右手（北边）走可以到达藏兵洞，往左手（南边）走可以到达三仙洞、三仙湖。右（北）行，沿古马陵道的台阶而上，经过泉朝律院遗址、山隐寺，在山隐寺前又遇岔路，建议走藏兵洞方向，这是马陵山好玩的地方。藏兵洞全长1.2公里，高5米，是20世纪“深挖洞广积粮”时建造的，里面黑漆漆的，大洞中又套着好几个小洞，颇有点探险的感觉，即使夏日这里也很凉爽。接着南行，去三仙洞，三仙洞是天然石洞，宿北大战时指挥部设在洞内，三仙洞旁又有七真岩洞。然后过三仙桥，赏三仙湖湖景，湖水碧绿，青翠的小山倒映在湖里。从三仙湖边的山路可以到达宿北大战纪念碑。如果体力好，可以再爬去老虎窝看看，是一块丹霞岩壁。如果不爱爬山，那么在三仙湖畔，树木与竹林的环抱中有茶社，喝喝茶也是很惬意的。,全年 09:00-17:00开放;全年 09:00-17:30开放
大景山漂流,https://you.ctrip.com/sight/xuzhou230/1702241.html,4.1,(67),江苏省徐州市贾汪区山水大道东26号,https://dimg04.c-ctrip.com/images/100u0v000000jp2s01824_C_220_140.jpg,徐州贾汪大景山漂流位于贾汪区美丽的督公湖西畔，山水大道东段山水度假村园内，是山水度假村重金打造的二期项目，聘请广东著名河道设计专家设计施工，华东首条松林峡谷奇幻漂。大景山漂流河道全长3.1公里，全程落差96米，设置特色体验达34处，真正让您一路奔跑一路尖叫一路欢笑。今夏玩水，大景山漂流非去不可，让您一次嗨个够爽到爆！,05/24-05/30 周六-周日 13:00-15:00开放;06/14-08/31 13:00-15:00开放;06/03-06/13 周六-周日 13:00-15:00开放;05/24-06/13 周一-周五 全天不开放;端午节 13:00-15:00开放
大景山景区,https://you.ctrip.com/sight/xuzhou230/2040268.html,5,(1),江苏省徐州市贾汪区山水大道东26号(督公湖景区西1公里),https://dimg04.c-ctrip.com/images/0104l1200097n145q6112_C_220_140.png,大景山景区景色迷人，春天桃花盛开，夏天碧波荡漾，秋天气爽迷人，冬天恬谧安静，是休闲度假的好去处。整个景区的绿化面积达10多万平方米，置身大景山脚下，青山倒映，鸥鹭翻飞，原生态林木茂密，是徐州市民近郊旅游优选目的地旅游景区。,全年 08:30-17:00开放
淮海战役纪念馆,https://you.ctrip.com/sight/xuzhou230/17386.html,无评分,(269),江苏省徐州市泉山区解放南路2号淮海战役烈士纪念塔园林内,https://dimg04.c-ctrip.com/images/0106w12000ks4e4t8A877_C_220_140.jpg,淮海战役纪念馆位于徐州市南郊淮海战役烈士纪念塔园林内，此处的纪念馆指的是新馆，园林中另有老馆。新馆内的陈列分前厅、序言厅、战役厅、支前厅、烈士厅、后厅六部分，共展出珍贵文物、历史照片以及油画、国画、雕塑等2200余件，包括《关于淮海战役作战方针》的电报手稿，淮海战役总前委指挥作战用的电台，86名烈士的遗像，遗物等。展览文物丰富，重点突出，布局合理，设备先进。,全年 周二-周日 09:00-17:30开放;全年 周一 全天不开放;端午节 09:00-18:30开放
淮海战役烈士纪念塔,https://you.ctrip.com/sight/xuzhou230/1510593.html,无评分,(暂无点评),江苏省徐州市泉山区解放南路2号,https://dimg04.c-ctrip.com/images/0101l12000f6qcbm98532_C_220_140.jpg,淮海战役烈士纪念塔位于江苏省徐州市南郊凤凰山麓，隶属泉山区奎山街道，1959年4月4日筹建，于1965年11月6日正式建成开放。淮海战役烈士纪念塔坐落在葱郁林木和200多个花坛间，塔高38.15米，面东朝阳，巍然屹立。纪念塔塔体由回廊、角亭环抱。塔座正面，镌刻碑文。塔座两侧为大型浮雕，右侧是军人一往无前的英雄形象，左侧是人民奋勇直前的豪迈雄姿。塔南、西、北设146米长廊，廊画上刻有淮海战役中牺牲的31006名战士的英名，镶嵌着反映淮海战役的大型陶瓷壁画。塔前，有宽敞的平台和长250米、宽31米的129级台阶。,全年 周二-周日 09:00-17:00开放;全年 周一 全天不开放，具体营业状态以当天开放情况为准
徐州园博园,https://you.ctrip.com/sight/xuzhou230/135927956.html,4.4,(163),江苏省徐州市铜山区吕梁互通连接线徐州园博园1号门,https://dimg04.c-ctrip.com/images/0101g12000a5ctcj22169_C_220_140.jpg,园博园的十大场馆建筑群，以及十大国际展园，总建筑面积约9.58万㎡，由6名院士4位大师聚智打造。,全年 09:30-17:00开放，具体营业状态以当天开放情况为准
徐州圣旨博物馆,https://you.ctrip.com/sight/xuzhou230/133846.html,4.6,(87),鼓楼区襄王北路3号,https://dimg04.c-ctrip.com/images/0106712000ifxr61812A5_C_220_140.jpg,徐州圣旨博物馆位于龟山景区内，分“奉天承运”、“中国科举”和“其藏也周”三大部分。“奉天承运”陈列圣旨、圣旨匾、装圣旨的盒子，在馆藏20余道诰命圣旨中，其中一件堪称孤品的圣旨跨越两代君王，是道光，咸丰二帝封爵奉恩将军奎定及其子玉纲世袭的，圣旨的底色为彩色，周边围绕着一条条翔龙，非常精美。“中国科举”陈列科举试卷、作弊用的小抄，介绍科举的规章制度、考生被处罚的典型事例。在陈列的文物里，只有半个巴掌大小的《四书五经》小抄令人惊叹，上面写有近20余万字。“其藏也周”陈列陶器、青铜器、玉器、瓷器、古代服饰等。西周青玉剑、西汉龙凤佩、东汉青铜摇钱树、东汉说唱俑、辽金时代镶金顶舍利佛塔、明清龙袍等都值得一看。,全年 9:00-17:00开放
潘安湖国家湿地公园,https://you.ctrip.com/sight/xuzhou230/1409776.html,4.1,(244),徐州市贾汪区潘安路,https://dimg04.c-ctrip.com/images/0102p1200083xpkt3A2D9_C_220_140.jpg,"潘安湖国家湿地公园位于徐州市区东北20多公里处，是一个由采煤塌陷区改造的湿地公园，经过数年打造，已成为国家湿地公园，4A级景区。公园内拥有大片湖面，水草丰茂，湖中坐落着一座座小岛，岛上种有各种花草树木，春天百花齐放，夏天荷花、睡莲盛开，秋季池杉红遍。这里很适合周末休闲游，沿着湖边的栈道走走，吹吹湖风、拍拍照，非常舒服。潘安湖国家湿地公园主入口在310国道上，进入后便是主岛，主岛有路与陆地相连。主岛东边为枇杷岛，西边为哈尼岛，主岛上分别有路和两者相连。主岛上面酒店、餐厅、商业街齐全。主岛拥有大假山，池杉林栈道，中心花坛、儿童乐园、小沙滩等景点及娱乐设施。也是观赏湿地公园自然景观的地点。主岛面积较大，为方便游客游览方便快捷，目前提供景区入口处至码头电瓶车接送（需另购票），另外景区内还有摇撸船，电瓶小游船，自助助力车租赁，客人可根据具体情况选择。主岛有画舫游船通往潘安水镇及鸟岛。潘安水镇上有仿古街道、仿古建筑、寺庙，是看民俗文化的地方,展现北方水镇青砖黛瓦建筑风格，又不失南方水镇的温婉娇柔，水镇商铺林立，还有古装汉风馆，可以袭一身汉服，体验一把穿越之旅。鸟岛上有小朋友喜欢的天鹅、鹦鹉、孔雀、鸵鸟、火鸡、羊驼等众多奇珍异兽。主岛池杉林为湿地保育区，每年只有10月11月开放，为游客展现池杉林秋红的魅影。池杉林保育区有池杉林栈道，吊脚楼，砖窑，四合院等景观小品。主岛上有潘安湖假日酒店，可提供住宿、餐饮、会议等服务，酒店装修典雅轻奢。潘安水镇有客栈民宿集群，以四合院的形式存在，可以定单间，也可包院，环境优美。",11/01-04/30 08:50-17:00开放;05/01-10/31 08:50-17:31开放
徐州欧乐堡童话世界,https://you.ctrip.com/sight/xuzhou230/139042160.html,3.6,(27),江苏省徐州市鼓楼区九里山东路79号徐州欧乐堡童话世界,https://dimg04.c-ctrip.com/images/1lo1x12000b9vw2p03196_C_220_140.jpg,徐州欧乐堡童话世界游览面积5000平方米（1800平方米），是由山东蓬莱八仙过海旅游集团总投资1200万元，倾心打造的一座儿童乐园，项目引入13个体验感十足的先进游乐项目。打造集主题乐园、育乐成长、艺术科普、亲子餐厅、亲子互动、未来科技于一体的亲子互动成长空间。让孩子们在富有乐趣的游玩中收获成长，收获勇气。我们始终围绕亲子空间游乐体验及亲子互动内容的升级与探索。让“亲子社交”在这里汇聚。作为欧乐堡旗下又一力作，欧乐堡童话世界以亲子生活第三空间为理念，致力于让孩子们拥有一场童话般的时间旅行，同时童话也拥有治愈人心的神奇力量，唤醒大人们心中的童话梦。充满想像的维尔塔特小镇与北欧鲜活的港口相遇，打造属于徐州亲子家庭的2023快乐密码让我们一起打开童话世界的大门，解锁新体验。,"01/01-05/30 周一-周四, 周日 09:30-17:30开放;06/03-12/31 周一-周四, 周日 09:30-17:30开放;01/01-05/30 周五-周六 09:30-20:00开放;06/03-12/31 周五-周六 09:30-20:00开放;05/31-06/02 09:30-20:30开放，开园舞：09:25（海洋接待大厅）
人鱼奇缘：10:30、12:30、14:30、16:30（水下剧场）
海洋大联欢：11:30、15:30（海洋剧场）

端午节（5.31-6.2）运营时间：
开园舞：08:55（海洋接待大厅）
人鱼奇缘：10:00,11:00,12:00,12:30,14:30,16:30（水下剧场）
海洋大联欢：11:30,15:30（海洋剧场）"
清明上河园,https://you.ctrip.com/sight/xuzhou230/145461839.html,5,(2),徐州市鼓楼区奔腾大道山南小镇-B区,https://dimg04.c-ctrip.com/images/0102612000irs2ebb0A81_C_220_140.png,徐州的清明上河园是一个以中国古代文化为主题的旅游景区，灵感来源于北宋画家张择端的名画《清明上河图》。虽然徐州并不是这幅画的直接背景地，但清明上河园通过再现古代市井生活和繁华景象，成功地吸引了众多游客前来体验传统文化的魅力。园区内的建筑大多采用木结构和青瓦屋顶，体现了古代建筑的典雅与庄重。游客漫步于园区，可以看到仿古的街道、商铺、桥梁和民居，仿佛置身于千年前的繁华都市。园区内设有多个主题展区，展示古代的商业、文化和社会生活。商铺里陈列着各式各样的传统工艺品和古代生活用品，游客可以购买到精美的手工艺品和纪念品。园区还定期举办传统手工艺展示活动，如陶艺、刺绣和木雕，让游客有机会亲身体验古代工匠的精湛技艺。,
汉兵马俑博物馆,https://you.ctrip.com/sight/xuzhou230/143867.html,4.4,(138),江苏省徐州市云龙区骆驼山街道兵马俑路1号,https://dimg04.c-ctrip.com/images/0100v12000ijhqegf39E4_C_220_140.jpg,徐州汉兵马俑博物馆是中国遗址性博物馆。汉兵马俑博物馆改扩建工程从2004年10月开始动工，博物馆面积在原有基础上增加了5000多平方米。改扩建后的博物馆不仅建筑风格具有浓郁的历史文化气息，而且增加了一个军事展厅和一个临时展厅。军事展厅有500多平方米，主要陈列一些汉代兵器、兵马俑的军阵及演变过程；临时展厅主要用来临时展览一些从外地兄弟单位引进的古代文物。狮子山兵马俑，不仅数量众多，而且种类繁多，显示出丰富的内容：有博袖长袍的官员俑、冠帻握兵器的卫士俑、执长器械的发辫俑、足登战靴和抱弩负弓的甲士俑等十余种。狮子山兵马俑既是汉代的艺术珍品，又是徐州作为军事重镇的历史见证，不仅对研究汉代雕塑艺术有极高的价值，对于研究汉代社会生活、丧葬制度、军制战阵都有着同样的价值。,全年 08:30-17:00开放
徐州开元森泊焕境乐园,https://you.ctrip.com/sight/xuzhou230/148460612.html,3.2,(6),徐州市泉山区湖西路1号,https://dimg04.c-ctrip.com/images/1lo5n12000f0r7biw2473_C_220_140.jpg,"徐州开元森泊焕境乐园作为森泊子品牌，沿袭森泊独具“自然、探索、爱”的理念，由开元旅业集团斥资打造的重要项目，作为苏北地区酒店+新型乐园项目，占地面积11600 ㎡ 以自然本身山湖风景主题风格，5大空间9大场景体验打造 "" 森泊家+乐玩 ” 玩住结合，成为全新的城市度假体验和亲子陪伴一站式消费目的地。",全年 09:00-18:00开放
乾隆行宫(和平路),https://you.ctrip.com/sight/xuzhou230/144210917.html,4.4,(5),江苏省徐州市云龙区和平路118号,https://dimg04.c-ctrip.com/images/0106012000ijy9hzoEB6C_C_220_140.jpg,乾隆行宫(和平路)位于徐州市和平路，是一座具有深厚历史底蕴的古建筑。始建于清朝乾隆年间，这座行宫曾是乾隆南巡时的驻跸之地，见证了乾隆的南巡岁月，承载着乾隆与徐州的情缘。行宫内的建筑布局严谨，雕梁画栋，富有艺术价值，吸引着众多历史爱好者和游客前来参观。游客可以漫步于行宫的庭院中，欣赏古色古香的建筑风格，感受历史的厚重。行宫内设有展览，展示了与乾隆相关的历史文物和故事，为游客提供了丰富的文化体验。此外，行宫周边交通便利，游客可以轻松抵达。参观乾隆行宫不仅是一次文化之旅，也是一次心灵的洗礼，让人们在现代都市的喧嚣中，找到一片宁静之地，感受历史的悠远与魅力。建议游客提前了解开放时间，并合理安排游览路线，以便更好地体验这一历史瑰宝。,全年 周二-周日 09:00-17:00开放;全年 周一 全天不开放
彭祖园,https://you.ctrip.com/sight/xuzhou230/116609.html,4.6,(112),江苏省徐州市泉山区泰山路21号,https://dimg04.c-ctrip.com/images/0103u12000j6fzimtC219_C_220_140.jpg,彭祖园，简称彭园，位于徐州云龙湖东边，西连云龙山，为纪念徐州的始祖彭祖所以名叫“彭祖园”。公园北部为福山，南部为寿山，山都不高，环境很好，绿树成荫，当地人常来此散步、爬山、放风筝，公园里还有徐州游乐园和徐州动物园，是孩子们的天堂。福山和寿山之间东西走向的道路贯通公园，东边通向东门，西边通向西门，在靠近西门的地方立着彭祖像，从哪一扇门进入公园都行，无特别的讲究。福山南麓有彭祖祠，可以祭拜彭祖，寿山顶有三层高的大彭阁。福山西边是秀气的不老湖，可以参观下不老湖北端的徐州名人馆，里面介绍了彭祖、徐偃王等徐州名人。带小孩的游客不妨去东门南边的徐州游乐园，里面的过山车、碰碰车等游乐设施需另外付费。还可以去公园南端的徐州动物园，需另买门票，动物园不算小而且动物也不少，还有动物表演可看。彭祖园的植被也是公园的一大亮点，梅园又名俏春园，位于彭祖园西门与动物园之间，冬天可赏梅。而有盛名的要属彭祖园的樱花，樱花林景区在公园的北端，福山北麓有中日友好友谊樱花林，规模不是很大，但不影响3月-4月花开时的美景。,全年 全天开放
户部山古建筑群,https://you.ctrip.com/sight/xuzhou230/133862.html,4.4,(172),江苏省徐州市云龙区彭城街道户部茶街1号,https://dimg04.c-ctrip.com/images/0104q120009dn7uvl60E0_C_220_140.jpg,户部山位于徐州老城南门外，是徐州城外较近的制高点。历史上黄河多次泛滥淹城．为避黄河水患，一些官绅富贾不惜重金在户部山周围择地建宅。从明末至近代的几百年间，户部山周围高宅大院密布，民居鳞次栉比。其中既有甲第官宦之家，也有富商之宅、节香门第。这些古建筑依山就势，参差错落，构思巧妙，形成了独特的建筑风格，是苏北乃至苏鲁豫皖接壤地区少有的一处古民居建筑群。户部山古民居既有北方四合院的规整划一，又有南方民居的曲折秀美。墙体多用青石与青砖，梁架用材硕大，雕梁面栋，琢刻精细。户部山周围也是活跃的商业区和苏鲁豫皖交界地区较大的货物集散地，这一带还有很多商业建筑。老盐店是旧时盐业专营时的管理机构，前半部分售盐、贮盐，后部是管理机关，有房屋上百间，是“前店后衙”的格局。此外还有很多商号院落，前面是进行贸易的店面，后边是商人居住的宅院。,全年 09:00-16:30开放
中国国家地理《探索 极致发现》科学艺术影像展,https://you.ctrip.com/sight/xuzhou230/150067749.html,5,(1),和平大道与东三环快速路交汇处(黄山垅地铁站旁)爱琴海购物中心五楼,https://dimg04.c-ctrip.com/images/0100q12000j5xuotg992B.webp,《中国国家地理》作为科学传媒一直在用影像记录、发现、传播与体验科学中国国家地理旗下的三刊《中国国家地理》《中华遗产》《博物》每一幅图片将中国大好河山呈现图片精美而震撼人心俯瞰地貌奇观，行走茂密的丛林之内，对话绿色守护者护林员。饱览山川之美、觅水之源，纵览栖息地和震撼人心世界极高峰。潜入万余米之下寂静的深海，抵达约930亿光年无垠的宇宙，聚焦肉眼不可见的微观之美，赞叹瑰丽的万物生灵，一次探索发现，刷新你对世界的认知。展览将科学与艺术完美融合。除了极具艺术性的科学影像作品，引入艺术装置和影音作品，本次展览更是公开了珍贵的科学考察资料等待观众探索。,04/03-10/19 周四-周日 全天开放;04/03-10/19 周一-周三 全天不开放，开始时间及时长以现场为准
彭城广场,https://you.ctrip.com/sight/xuzhou230/1832882.html,4.6,(29),江苏省徐州市鼓楼区中山北路2号,https://dimg04.c-ctrip.com/images/0102x120008k0ld5qCFFD_C_220_140.jpg,"彭城广场由中心广场、副广场和南广场三个部分组成。广场按""鼎""字形分割绿地，""鼎""的四只脚为伸向四方的游览道，""鼎""身用安溪红、太行红花岗岩铺装成象棋盘，象征着徐州自古为兵家必争之地。",全年 全天开放，具体营业状态以当天开放情况为准
艾山风景名胜区,https://you.ctrip.com/sight/pizhou1560/139470.html,4.4,(288),江苏省徐州市邳州市铁富镇G310与邳铁线交汇处,https://dimg04.c-ctrip.com/images/0103l12000833loip57E0_C_220_140.jpg,艾山地处苏鲁两省之界，位居苏北三大名山之列，与花果山、云龙山齐名，海拔197.2米。此山为古徐国“镇国”之山，曾铸“艾”字鼎；又传说六十年生一次神艾，当地百姓为祈祥佑福，故又称之为艾山。因九峰连属、蜿蜒曲折，如九条巨龙盘卧，又名九龙山。艾山景色旖旎醉人，集奇山秀水与禅庭胜地于一身。山上景点众多。有春秋时期的艾王城遗址，三国时期徐庶隐居的徐庶洞，唐宋时期的古战场黑风口，明清时期的奶奶庙，少林寺下院——铁佛寺、华严寺，令人震撼的大型音乐动态喷泉——九龙佛塔等人文景观。,全年 08:30-16:30开放
徐州民俗博物馆,https://you.ctrip.com/sight/xuzhou230/133847.html,4.5,(83),江苏省徐州市云龙区户部山崔家巷2号,https://dimg04.c-ctrip.com/images/0101g120008k0mmqu5B43_C_220_140.jpg,徐州民俗博物馆坐落在江苏省徐州市历史名山户部山上，依明清古民居而设，是一座以收藏、展示、研究徐州地区民俗文物及民俗文化为主的专题性博物馆。博物馆分徐州古民居展示、生产和生活展示、婚嫁和生育展示、民间艺术和工艺展示、地方戏曲和曲艺展示以及民俗、民风、民间绝活演展等六大部分。其中古民居中的鸳鸯楼建筑在全国独树一帜。馆内还设有茶艺室、棋牌室、民间工艺品小卖部，并提供传统的婚礼、寿礼、送粥米服务。,全年 09:00-17:00开放
泰山,https://you.ctrip.com/sight/xuzhou230/145367448.html,5,(3),江苏省徐州市泉山区泰山路与金山东路交叉口东北150米,https://dimg04.c-ctrip.com/images/0106t12000k9hhsgxBBEB_C_220_140.jpg,,
徐州 · 【肆笑喜剧】丨爆笑脱口秀,https://you.ctrip.com/sight/xuzhou230/149650426.html,无评分,(暂无点评),江苏省徐州市徐州市鼓楼区金地商都一期四层033商铺,https://dimg04.c-ctrip.com/images/0105z12000h45plbsA415_C_220_140.jpg,,待定，演出时间及演出时长以现场为准
壹捌夜市,https://you.ctrip.com/sight/xuzhou230/112648048.html,4.5,(2),江苏省徐州市鼓楼区黄楼街道中山北路8号,https://dimg04.c-ctrip.com/images/0100g120009yw81j73169_C_220_140.jpg,壹捌夜市位于中国江苏省徐州市鼓楼区中山北路8号，是徐州很受欢迎的夜间经济地标之一，以“烟火气”与“潮流文化”融合著称。这里汇集了各种徐州本地特色小吃，如徐州烧饼、糖芋苗、锅贴等，同时也不乏来自全国各地的美食。除了美食，夜市还有各种小商品摊位，出售服装、饰品和日用品等。夜市的布局巧妙，既保留了传统夜市的烟火气息，又融入了现代元素，为顾客提供了舒适的购物和用餐环境。此外，夜市还经常举办各种文化活动和表演，增添了更多的娱乐性和互动性。对于想要体验徐州夜生活和本地文化的游客来说，壹捌夜市是一个不容错过的目的地。,1/1-12/31 全天开放
刘邦故里文化景区,https://you.ctrip.com/sight/fengcounty3080/145366990.html,5,(1),江苏省徐州市丰县518国道赵庄镇金刘寨村汉皇祖陵内(南侧),https://dimg04.c-ctrip.com/images/0105w12000f4e9ahm081D_C_220_140.jpg,刘邦故里文化景区，坐落于江苏省徐州市丰县赵庄镇金刘寨村，是一处集汉文化体验、生态观光与根祖祈福于一体的历史文化胜地。景区以刘邦曾祖父刘清墓为核心，占地广阔，分为多个功能区，包括祖陵祭拜区、汉文化展示区等。步入景区，首先映入眼帘的是雄伟的四灵汉阙，其设计灵感源自汉代宫廷建筑，寓意深远。继续前行，可见刘邦雕像矗立于汉文化展示馆之上，气势磅礴，彰显一代帝王的风采。此外，汉皇祖陵作为景区的核心景点，承载着丰富的历史与文化内涵，是刘姓后人寻根问祖的圣地。漫步景区，游客可以深切感受到浓厚的汉文化氛围，领略历史长河的波澜壮阔。,全年 08:30-17:00开放
水下兵马俑馆,https://you.ctrip.com/sight/xuzhou230/98281800.html,4,(6),徐州市云龙区兵马俑路1号,https://dimg04.c-ctrip.com/images/0101x120008bwacwx37A6_C_220_140.jpg,水下兵马俑博物馆分为两个方形桷斗状建筑，借鉴汉代屋顶建筑形式，呈四坡面。展出的是复原的俑坑和精心修复的兵马俑。,具体开放时间请咨询景区
徐州动物园,https://you.ctrip.com/sight/xuzhou230/116593.html,4.2,(79),徐州市泉山区泰山路21-1号,https://dimg04.c-ctrip.com/images/0102912000b8ckk3e4BFB_C_220_140.jpg,徐州动物园位于徐州市彭祖园的南部，曾经是江苏省第二大动物园。动物园区占地110亩，有造型迥异，风格不同的动物笼舍30余组，动物品种81种。每逢节假日，动物园都会举办大型动物演展活动，幽默风趣的动物表演，是游人与动物相互交流的一大品牌景观。徐州动物园饲养展出的国家保护动物有：东北虎、金钱豹、棕熊、黑熊、麋鹿、小熊猫、猕猴、蜂猴、梅花鹿、马鹿、牦牛、丹顶鹤、白枕鹤、蓑羽鹤、白鹤、灰鹤、红腹锦鸡、红腹角雉、白鹇、蟒等；饲养展出国外动物有非洲狮、斑马、鸵鸟、鸸鹋等，共80余种，800余只（头）动物。还曾经租借展出过大熊猫、亚洲象、袋鼠、黑猩猩、犀牛、北极熊、长颈鹿、河马、企鹅等珍稀动物。,全年 08:00-17:30开放
