名称,详情页链接,评分,评论数,信息,图片链接,introduction,opening_hours
徐州小桂林,https://you.ctrip.com/sight/xuzhou230/136059561.html,1,(1),江苏省徐州鼓楼区中山北路九里山高尔夫球场院内,https://dimg04.c-ctrip.com/images/1me1o12000al0ypfs7B83_C_220_140.png,徐州小桂林坐落在徐州市北区刘楼村南、簸箕山北侧，面积近10万平方米，雨季山水汇集，塘深而清澈，自然环境优美，令人流连忘返。,具体营业状态以当天开放情况为准
茱萸山滑雪场,https://you.ctrip.com/sight/xuzhou230/5701473.html,4.7,(11),江苏省徐州市贾汪区茱萸路茱萸欢乐谷旁边,https://dimg04.c-ctrip.com/images/01030120008f32lzcB114_C_220_140.jpg,茱萸山滑雪场坐落于徐州市贾汪区东部的茱萸谷度假乐园旅游 景区内，是一个集滑雪、滑雪培训以及戏雪活动于一体的综合性冰雪 娱乐场所。该滑雪场拥有广阔的面积和完善的设施，覆盖面积超过8 万平方米。2024年，滑雪道将全面升级，设计理念是：舒适更安全 的让你爱上滑雪。单双板滑雪技能不同，愿每位朋友能更加安全、舒 适的体验滑雪，滑雪场将单双滑雪道区分开。设有4条滑雪道和1 条雪圈道，以及一座戏雪公园。每条滑雪道的长度均为240米，落差可达30米。其中包括1条专为单板滑雪者设计的滑雪道，1条 单板公园，1条专为双板滑雪者设计的滑雪道，以及1条双板滑雪教 学道。单板滑雪道宽度60米，双板滑雪道32米-36米。 为了吸引更多家庭和初学者，茱萸山滑雪场特别开辟了10000平 方米的亲子嬉雪区，设有两条100米的雪圈道，让小朋友们也能在雪 地中尽情玩耍。滑雪场还提供了1200套双板雪具，800套单板雪具， 专业滑雪服1000套，滑雪护具800套，确保每位游客都能装备齐全， 享受滑雪的乐趣，更加安全的体验滑雪。专业教练与教学服务：茱萸谷滑雪场配备了专业的教练团队，为 所有来到茱萸山的游客们提供细致的教学服务，帮助游客快速掌握滑 雪技巧，爱上滑雪。滑雪教学宗旨：在茱萸山，若未能学会滑雪，我 们将全额退还您的教学费及滑雪费用。在茱萸山扎实掌握滑雪基础 技能后，您将能够在国内的大型滑雪场中级道上尽情享受滑雪带来的 乐趣。2024 年，茱萸山滑雪场大厅将迎来全面升级。滑雪场将摒弃传 统的入场领取器材流程，打造提供人性化智能便捷服务的 场所。我们以诚信和真诚待客，取消了押金制度。诚邀您来体验这滑雪乐趣。此外，我们新增了美食区、咖啡区、热饮室以 及商业区，并配备了完善的洗浴设施。升级后的滑雪场将专注于提供 舒适、高品质、安全的滑雪环境，致力于让每一位游客都能爱上滑 雪这项运动,12/20-02/28 09:00-21:00开放;03/01-12/19 全天不开放
徐州督公山滑雪乐园,https://you.ctrip.com/sight/xuzhou230/1494077.html,4.3,(136),江苏省徐州市贾汪区徐州东城绕越高速督公湖风景区内,https://dimg04.c-ctrip.com/images/100510000000pz8075D90_C_220_140.jpg,督公山滑雪乐园，位于徐州市贾汪区督公湖风景区内翠林掩映的的督公山上。雪场总面积8万平方米，拥有国内外先进的造雪机、轧雪机等造雪设备及魔毯、拖牵索道等交通设施和3000平方米的游客服务大厅。雪场中，设置了适应不同类型人群的练习道、初级道、中级道、雪圈道及较高难度的波浪雪道。成为徐州及周边地区人们冬季观赏雪景、旅游体验、强体健身、释放激情的理想之地。督公山滑雪乐园：投资5000万元兴建的督公山滑雪乐园和督公山漂流项目，其滑雪乐园主体建设项目已趋完成，拟于2014年1月4日开业迎宾。这将是献给徐州人民的一份新年贺礼。督公山滑雪乐园位于贾汪区督公湖风景区内的督公山上，由河南乐途旅游投资有限公司投资建设。雪场总面积8万平方米，拥有国内外先进的造雪机、轧雪机等造雪设备及魔毯、拖牵索道等交通设施和3000平方米的游客服务大厅。雪场中，设置了适应不同类型人群的练习道、初级道、中级道、雪圈道及较高难度的波浪雪道。成为徐州及周边地区人们冬季观赏雪景、旅游体验、强体健身的理想之地。,12/20-03/02 08:00-17:00开放;03/03-06/08 全天不开放;06/09-10/07 08:00-17:00开放;10/08-12/19 全天不开放
墨上集·拾光影城,https://you.ctrip.com/sight/xuzhou230/5718333.html,3.8,(10),江苏省徐州市贾汪区龙山路与山水大道交汇处北墨上集,https://dimg04.c-ctrip.com/images/0100f12000f6rqo96B01A_C_220_140.jpg,墨上集·拾光影城坐落于贾汪区茱萸山街道，占地面积约120亩，建筑面积约2万平方米，是集民俗非遗、休闲观光、体验互动、影视拍摄、特色美食为一体的综合性文旅街区。拾光影城实景打造“老城印记、明清市集、民国往事、异域风情”四大主题街区，以广博的历史文化为依托，以逼真的景致陈列为载体，将时光各异、场景不同的景区汇聚成一座“微影城”，与影视公司合作量身打造专属IP，用富有时代烙印和地域特色的精彩演艺，再现岁月洪流中的人间万象，为游客提供沉浸式游乐体验。,01/08-01/28 09:00-18:00开放;02/04-04/30 09:00-18:00开放;05/06-12/31 09:00-18:00开放;01/29-02/03 09:00-20:00开放;05/01-05/05 09:00-20:00开放
徐州启迪乔波冰雪世界,https://you.ctrip.com/sight/xuzhou230/134112323.html,4.5,(10),江苏省徐州市云龙区翠屏山街道和平大道118号万科新淮中心F1,https://dimg04.c-ctrip.com/images/0EQ6n12000dlry2aw1DF1_C_220_140.jpg,徐州启迪乔波滑雪场雪场布景以远古冰河世纪时期的地球原貌为主题，可切身感受冰河时代山川河流的秀美和壮丽。雪场内冰河时代体验区，可供孩子们了解冰河时代演变历程、游乐、拍照等互动体验。,全年 周一-周四 10:00-18:00开放;全年 周五-周日 10:00-20:00开放
点石园石刻艺术馆,https://you.ctrip.com/sight/xuzhou230/3149685.html,4.6,(27),徐州市鼓楼区襄王北路3号,https://dimg04.c-ctrip.com/images/1003190000017a94g8F96_C_220_140.jpg,点石园石刻艺术馆是集砖雕、木雕为一体的展馆。,5/1-9/30 08:30-17:30开放;10/1-4/30 08:30-17:00开放
徐州吕梁风景区,https://you.ctrip.com/sight/xuzhou230/69200367.html,4.6,(5),徐州市铜山区X309,https://dimg04.c-ctrip.com/images/0101c12000ihyzhfr4EFE_C_220_140.jpg,徐州吕梁风景区是一处以自然山水和文化遗迹为特色的综合性景区，位于徐州市的西南部。这里以其秀丽的山川、丰富的植被和悠久的历史文化吸引着众多游客，是休闲度假和文化探索的理想目的地。景区内的吕梁山以其连绵起伏的山势和清新的空气而闻名，是徒步旅行者和自然爱好者的乐园。沿着山间步道，游客可以欣赏到四季变幻的自然景观，春天的花海、夏日的绿荫、秋季的红叶和冬天的雪景，各具特色。山顶的观景台提供了俯瞰全景的机会，让人感受到大自然的广阔与宁静。除了自然风光，吕梁风景区还拥有丰富的历史文化资源。景区内的古迹和遗址展示了当地的历史变迁和文化底蕴，为游客提供了探索历史的机会。定期举办的文化活动和展览，更是为游客提供了深入了解当地文化的途径。无论是寻求自然宁静的游客，还是对历史文化感兴趣的旅行者，徐州吕梁风景区都能提供一段充实而愉悦的旅程，是体验自然之美与文化魅力的理想之地。,全年 全天开放
徐州轮胎乐园,https://you.ctrip.com/sight/xuzhou230/5622366.html,4.8,(22),徐州市铜山区汉王镇纪信路轮胎乐园（月亮湾马术俱乐部隔壁）,https://dimg04.c-ctrip.com/images/350n1700000120paa279D_C_220_140.jpg,徐州轮胎乐园是集创意、休闲、娱乐、运动、学习为一体的综合型休闲旅游景区，以火车为特色，将小农夫乐园、迷你农场、亲子小动物园等融入主题，是个适合亲子活动的景区。,全年 周一-周五 09:00-17:00开放;全年 周六-周日 09:00-17:30开放
徐州园博园涵田度假村温泉,https://you.ctrip.com/sight/xuzhou230/135462203.html,4,(8),江苏省徐州市铜山区309县道崔贺庄水库管理所隔壁（吕梁风景区内）,https://dimg04.c-ctrip.com/images/0EQ5712000db5bqkyDB73_C_220_140.jpg,徐州园博园涵田度假村·温泉酒店在园博园惊艳启幕！泗水是古代著名河流，流经徐州东南吕城，因受两侧山地所限，河道狭窄，形成了吕梁洪急流。泗水至吕城，积石为梁，故称吕梁。特殊的地质构造，并经过时间空间的演变，形成涵田·温泉酒店现有的，优质稀有的天然温泉水——碳酸石盐泉。﻿,07/05-12/31 周五-周六 12:00-23:22开放;07/05-12/31 周日 10:00-21:00开放;07/05-12/31 周一-周四 全天不开放;06/10-07/04 周六 10:00-22:00开放;06/10-07/04 周日 10:00-20:00开放;06/10-07/04 周一-周五 全天不开放
小南湖,https://you.ctrip.com/sight/xuzhou230/1834585.html,4.8,(98),江苏省徐州市泉山区金山南路徐州云龙湖风景区内,https://dimg04.c-ctrip.com/images/0101c1200067smopm3D38_C_220_140.jpg,小南湖景区规划总面积1.661平方公里，其中水域面积0.962平方公里。小南湖景区布局呈“W”上有一横的形状。一横为湖南路，“W”中间的空白部位为小南湖的水面，景区内有一池二岛、三轩五园。其中一池：即小南湖水面通过两座长桥与主湖相通，形成相对独立的一片有园林建筑的幽静池塘；二岛：指从湖南路、湖南岸的南北两个方向伸向湖中的岛、两岛相望，水面相连，岛与岸之间以景观桥相连，造成小南湖多变的地形，也使每一条陆地、水面的游览线路都有移步换景的效果；三轩五园：指这里的园林古典式建筑，有亭、园、院、榭、台、轩、阁，以及桥、堤等。整个小南湖景区水面精巧、环湖布景，以“江南园林”特色的会馆艺苑、水乡人家、小桥流水、名苑流香、荷塘鱼藕为主体景观，形成“静湖幽园”的中国古典人文及自然景观特色。,全年 全天开放
徐州蟠桃山佛教文化景区,https://you.ctrip.com/sight/xuzhou230/70520.html,4.6,(163),鼓楼区经济技术开发区宝莲寺路5号,https://dimg04.c-ctrip.com/images/0101i12000f6sgevj6B80_C_220_140.jpg,蟠桃山佛教文化景区，当地人称宝莲寺，位于徐州东郊，始建于南北朝时期，宝莲寺外观恢弘大气，内部装修金碧辉煌，游人不多，可以烧香祈福。景区的大门在南端，主体建筑沿南北走向的中轴线排布，钟楼、鼓楼分布在寺门两侧。由南边的宝莲寺路步入。继续往北，就来到了寺庙的主体部分。在大雄宝殿“七佛殿”里可以看到长37.5米的童子拜观音壁画，非常精美。中轴线北端的通天阁内，供奉高39.88米的弥勒铜像，宏伟壮观。寺庙的其他房间有供奉法显和尚的祖师殿、供奉关羽的伽蓝殿、地藏殿、观音殿、文殊殿、普贤殿、藏经阁等。如果要细细游览寺庙，那么还可以留意下各建筑上的楹联匾额，多为国内书法名家作品。景区内提供斋饭吃，需另外付费。,全年 07:00-17:00开放
沛县汉城景区,https://you.ctrip.com/sight/peicounty3075/17381.html,4.3,(104),汉城南路1号,https://dimg04.c-ctrip.com/images/100s1f000001gx7pqDE3F_C_220_140.jpg,汉城景区距离沛县汽车站仅10分钟步行路程，包括汉街、汉高祖原庙、歌风台（沛县博物馆）、汉城公园，建有不少仿汉建筑，乍一眼看上去颇有气势，细看却缺精致，与其说是领略汉文化的地方，倒更是散步、休闲的好地方。汉街是商业街，被各色店铺、餐馆、KTV占据，都建成汉代建筑的模样，整个沛县热闹的地带就在这里。汉街南部的汉高祖原庙很小，只有一座大殿“乐沛殿”，大殿塑高祖刘邦镏金巨像，两侧配有两汉24帝画像，院中青松翠柏，立有唐代柳宗元的“汉高祖原庙铭”碑。汉高祖原庙斜对面是歌风台，歌风台内部为沛县博物馆，陈列着西汉早期画像石、西汉彩绘陶俑等不多的展品。歌风台的亮点在于它是汉城景区的至高点，登上顶层，俯看成片仿汉建筑，依稀能想象“大风起兮云飞扬”的气魄。汉街的南端到汤沐路为止，汤沐路南侧为汉城公园。汉宫区是公园的核心景区，汉魂宫是汉宫区主体建筑，一层四周镶嵌青石浮雕，镌刻汉画像石图案；二层为“刘邦坐殿”，蜡塑群像栩栩如生；三层绘有《刘邦车马出行图》。此外公园中有宽阔的湖面，夕阳西下时，绕着湖散散步，景色不错。,全年 08:30-17:00开放，具体营业状态以当天开放情况为准
徐州百乐汤汗蒸汤泉,https://you.ctrip.com/sight/xuzhou230/134384722.html,5,(4),江苏省徐州市鼓楼区环城路63号和信广场三期G座B1层商铺,https://dimg04.c-ctrip.com/images/01018120009pkwe1kD8C4_C_220_140.jpg,徐州厚塘汤泉坐落于鼓楼区黄楼街道办事处复兴北路和信广场三期G座B1层，地理位置优越，交通便利。汤泉汇集了温泉沐浴、韩式汗蒸、窑洞、电影院、书吧、电玩、网咖、多功能休息大厅、童嬉园、水上乐园、健身房等，让每一位来宾各取所需、各得其乐。无论在炎炎夏日、还是萧瑟的寒冬，无论是独自休闲、还是好友小聚、家庭亲子、情侣浪漫，厚塘汤泉都是您放松身心、享受健康生活的好去处。欢迎“来厚塘汤泉养生，悠享健康生活”。以健康沐浴为新的使命倾力打造！带动现代人休闲生活的新方式，高品质而非高消费。,全年 全天开放
徐州金龙湖风景区,https://you.ctrip.com/sight/xuzhou230/116640.html,4.9,(95),江苏省徐州经济开发区龙湖西路与龙湖南路交叉口东北角,https://dimg04.c-ctrip.com/images/01059120008k0n7d996FF_C_220_140.jpg,"金龙湖风景区位于徐州市区东部，景区不大，但景色优美，风光旎丽，游人如潮，络绎不绝，也是消夏避暑休闲的仙境之地。金龙湖景观常年水深4.5米-7.5米，分春夏秋冬四景区，十二景园、一岛一堤、三广场,沿环湖大道可形成3.7公里的滨湖生态景观带。金龙湖的景观塑造着力对其自然微地形和人工地形融合产生的空间关系进行雕塑和雕琢，使之成为架构在传统园林空间关系上的现代景观设计，展现其独特性的同时又具有自然之美。在水系、地形、植被、园林建筑以及主要场地形式的风格和主体景观构成方面，做到很好的统一。",全年 全天开放
沛县博物馆,https://you.ctrip.com/sight/peicounty3075/5702898.html,4.9,(10),江苏省徐州市沛县汉邦路7号,https://dimg04.c-ctrip.com/images/0100s12000f6tifc1AD45_C_220_140.jpg,沛县博物馆有四层，首层大厅矗立着刘邦的雕像，馆内收藏有石器，玉器，铜器等文物。,1/1-12/31 08:30-17:00开放
徐州汉画像石馆,https://you.ctrip.com/sight/xuzhou230/17380.html,4.7,(91),江苏省徐州市泉山区云龙湖东路5-1号,https://dimg04.c-ctrip.com/images/0100p120008k0mzki07EB_C_220_140.jpg,徐州汉画像石艺术馆位于云龙湖东岸，分南馆和北馆两个馆。南馆是新馆，靠近云龙山索道下站，具有现代化的外观；北馆是旧馆，外观仿唐宋建筑。汉画像石是汉代地下墓室、墓地祠堂、墓阙和庙阙等建筑上的画像石刻，南馆和北馆中展出了数百件汉画像石，刻画手法古朴浑厚，内容涉及神话传说、历史故事、现实生活等方方面面，一定会让人文爱好者大呼“过瘾”。北馆（旧馆）展出的主要是清代末年至1989年的汉画像石，这些汉画像石镶嵌在长廊和7个展室内。其中第一展室的炎、黄帝升仙图，第二展室内目前发现的汉画像石中时代早的西王母图象，第三展室的纺织图，第四展室的迎宾宴饮图，第五展室的泗水捞鼎图，第七展室内在历史课本上出现过的牛耕图等，都是不容错过的精品。南馆（新馆）展出的是1900年后新收藏的汉画像石，分六大部分。“神道天路”展出的是陵墓神道两边的石刻，“承天敬祖”展出祠堂石刻，“天工神韵”指具有艺术性、构图上有创意的汉画像石，“汉石春秋”展出的汉画像石内容再现了汉代社会生活的各个方面，“千秋地宫”展出的是墓地里的石刻，“碑刻题记”展出的是徐州出土的汉代刻字石碑。如果你对汉画像石感兴趣，在艺术馆的汉画商店里可以买到汉画像石拓片，以留作纪念，拓片较贵，至少两、三百元。,"全年 周二-周日 09:00-17:00开放;全年 周一 全天不开放;元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 09:00-17:00开放"
徐州水族展览馆,https://you.ctrip.com/sight/xuzhou230/70220.html,4.4,(119),江苏省徐州市泉山区湖中路1号,https://dimg04.c-ctrip.com/images/10090p000000fl1691C4F_C_220_140.jpg,“云龙湖水上世界”座落在风景如画的云龙湖湖心岛上，它造型奇特，象长鲸击水，又似白豚卧波，洋溢着现代建筑雕塑的艺术气息。艳阳下，在四周山色、万顷碧波的映衬中，显得格外秀美。夜幕渐垂，华灯齐放，则变得晶莹剔透、夺目耀眼，在云龙湖的夜色中闪烁生辉。水上世界建筑造型成为北京人民大会堂中央厅二楼“锦绣中华”紫砂浮雕，为全国仅收录的五个现代建筑造型之一。新改造的水族馆分为近海奇观区、互动的多媒体区、淡水生态区、热带雨林区、神秘文化区、珍稀鱼类区、海底隧道区、4D动感影院八个主题区。,全年 09:00-17:00开放
兴化禅寺,https://you.ctrip.com/sight/xuzhou230/133879.html,4.4,(26),徐州市泉山区云东一道街32号,https://dimg04.c-ctrip.com/images/0102i120008k0mw8gCE29_C_220_140.jpg,兴化禅寺，位于江苏徐州城南风景区云龙山东麓，为佛教禅宗寺院，1390年明洪武年间，缘大石佛始建，香火悠久，成为苏北佛教一大丛林。兴化禅寺内供奉的阿弥陀佛大石佛，始凿北魏政平(450年)年间，距今已有1500余年历史。石佛依山石而凿，高约三丈六尺(11.52米)，初为一露天佛首，清康熙年间，续刻两臂及胸。覆盖大石佛的殿堂始建于明代，顺山崖而造，殿堂后壁檐下仅有三层砖垒叠，故有三砖殿覆三丈佛之称，成为禅林奇观。兴化禅寺内现仍有明代建筑的钟鼓楼、祖堂、藏经楼和一口重约三吨的铁钟等等。兴化禅寺在1993年6月，新建大雄宝殿时，发掘出深埋地下的唐宋时期佛教摩崖造像，共七组195尊，并建造保护室，供游人观瞻，中国佛教协会会长赵朴初先生为之题写“唐宋摩崖石刻造像”。1995年，江苏省人民政府列为省级文物保护单位。唐宋摩崖石刻保护室顶层，是新建的大雄宝殿，殿堂飞檐斗拱，翘角凌空，金饰彩绘，气势恢宏。殿内供奉横三世佛，左药师、右弥陀、佛祖释迦居中，庄严肃穆，慈悯安详。兴化禅寺占地面积约7000平方米，建筑面积1982平方米，解放以来几经修葺，既保持了明代建筑古貌，又焕然一新，在苍松以柏的掩映下，曲经回廊，竹林花木，幽雅清静，尤入仙境。僧众和合，以戒为师，晨钟暮鼓，古刹生辉。现又为徐州市佛教协会办公地址。,全年 08:00-17:00开放;全年 08:00-16:30开放
徐州城下城遗址博物馆,https://you.ctrip.com/sight/xuzhou230/134718335.html,无评分,(暂无点评),江苏省徐州市鼓楼区中山北路彭城广场地下,https://dimg04.c-ctrip.com/images/01069120009yzdoas9111_C_220_140.jpg,徐州地下城遗址博物馆是一座汉文化特色博物馆，在这里人们可以充分领略两汉文化。,全年 周二-周日 10:00-21:00开放，每周一闭馆（法定节假日除）。
歌风台,https://you.ctrip.com/sight/peicounty3075/141113.html,4,(66),徐州市沛县汉街沛县汉城景区,https://dimg04.c-ctrip.com/images/01028120009dh467h38E6_C_220_140.jpg,歌风台为纪念汉高祖刘邦衣锦还乡，所著《大风歌》而兴建，位于徐州市沛县县城中心汉城公园内。为“沛县古八景”之一，也是现今重要观光旅游景点之一。82年被江苏省人民政府列为重点文物保护单位。 公元前 196 年，汉高祖刘邦平定叛乱的淮南王英布，还归故里，置酒沛宫，邀家乡父老欢宴，把酒话旧，感慨万千酒酣兴起，这位马上归来的开国皇帝、布衣英雄击筑高歌：“大风起兮云飞扬，威加海内兮归故乡，安得猛士兮守四方！”。履毁履建，具体可参阅本词条和《沛县志》及相关资料。《大风歌》刘邦“歌毕泣数行下”。一百二十名少年和而歌之，群情为之激昂，这就是文学史上著名的《大风歌》。此歌只有三句，却字字金石，掷地有声，其 奋发有为之志，悲壮豪放，建功立业之心，气势磅礴，安邦优国之虑，凝重深切。可谓壮怀激烈，感人肺腑！大风歌碑大风歌碑共存三块。一块汉碑，高一丈一尺，宽四尺四寸。字体浑圆虬劲，结构匀称优美。据《沛县志》和《徐州府志》记载，为东汉蔡邕或曹喜所书。今人冯亦吾先生考证为西汉沛人文学家爱礼所书。诸说不一，但都认为是我国的书法珍品。汉碑公存在大半部，约为原碑四分之三，石质坚细，虽历两千年风雨剥蚀，文字仍清晰可辨。元碑系元代大德年间摹刻，字迹清晰神似，足可乱真，元碑阴有说明文字，资料珍贵，可资研究者考用。第三块又称甲子碑，是沛县人民政府于 1984年（甲子年）请书法字按原碑的规模又摹刻的。1982年2月，江苏省人民政府将歌风台、大风歌碑公布为省级重点保护文物。歌风台原在古县城东南，历经沧桑，屡迁屡建。今天的歌风台，建筑面积 12600平方米，建筑总高26.8米，是汉城建筑群的制高点，壮阔雄伟，在全国同类建筑中堪称首位. 重点文物1982年2月，江苏省人民政府将歌风台、大风歌碑公布为省级重点保护文物歌风台原在古县城东南，历经沧桑，屡迁屡建。今天的歌风台，建筑面积 12600平方米，建筑总高26.8米，是汉城建筑群的制高点，壮阔雄伟，在全国同类建筑中堪称首位.。,全年 06:30-17:30开放;全年 18:30-22:00开放
通天阁,https://you.ctrip.com/sight/xuzhou230/145119325.html,5,(1),宝莲寺路5号宝莲寺内,https://dimg04.c-ctrip.com/images/0103x12000dw9iu0e8A8A_C_220_140.jpg,,
东兴街夜市(万达广场徐州云龙店),https://you.ctrip.com/sight/xuzhou230/136632709.html,无评分,(暂无点评),江苏省徐州市云龙区和平大道58号万达广场F1,https://dimg04.c-ctrip.com/images/0103w12000cd7bjbg6264_C_220_140.jpg,这里汇聚了各种各样的小吃摊贩，提供了各种地方特色美食和小吃。,全年 12:00-23:00开放
徐州之夜,https://you.ctrip.com/sight/xuzhou230/145278496.html,无评分,(暂无点评),徐州市贾汪区湖西路与乌金路交叉路口往南约260米,https://dimg04.c-ctrip.com/images/0106k12000eosiwwm39FB_C_220_140.jpg,,
老东门今雨天地街区,https://you.ctrip.com/sight/xuzhou230/144110.html,4.1,(54),江苏省徐州市云龙区淮海东路104号,https://dimg04.c-ctrip.com/images/0102r120009ym1srx2B7C_C_220_140.jpg,徐州老东门位于淮海东路104号，解放前是国民军军部，后成为驻徐某集团军军部。城墙遗址、碉堡、军部大门、民国礼堂……徐州老东门留下的文化符号复合了上世纪不同时期、不同风格的建筑。红砖青瓦，鱼鳞松、香樟树、法国梧桐，绿树成荫，彭城徐州近现代的“历史符号”藏于其中，军部的哨岗亭依然保存完好。多数建筑是解放前，少数建筑史解放后新建的。在徐州打造东部CBD时老东门成为发展“月光经济”的中心区之一，打造徐州的“APM24”时尚街区成为徐州东大门的主要任务。东大门作为“开放式的博物馆”，重现民国风韵和海派文化，同时要配合淮海东路CBD的整体风貌。,具体营业状态以当天开放情况为准
户部山步行街,https://you.ctrip.com/sight/xuzhou230/5168315.html,4,(4),云龙区,https://dimg04.c-ctrip.com/images/0103l12000f6u6lxx28A1_C_220_140.jpg,户部山是官宦之家和富贾豪门争相趋居之地，是徐州文化的缩影。步行街内有大批的历史遗迹和古建筑群，戏马台、民俗馆、状元府等景点，很值得游览参观。,具体营业状态以当天开放情况为准
徐州文庙东方街区-鼓楼,https://you.ctrip.com/sight/xuzhou230/148863834.html,5,(1),江苏省徐州市鼓楼区文庙街区(彭城广场地铁站18号口步行100米),https://dimg04.c-ctrip.com/images/1me4l12000fh0heoxB149_C_220_140.jpg,,
大运河,https://you.ctrip.com/sight/pizhou1560/141190.html,4.8,(88),徐州市邳州市京杭运河(沿河路南200米),https://dimg04.c-ctrip.com/images/0101512000f6ppoczCDEC_C_220_140.jpg,京杭运河邳州段沿线水面宽阔、鱼虾丰富、环境优美，两岸植被茂盛，景色怡人。沿途历史文化古迹众多。运河流域共有古迹遗址及文物点116处，其中有名的有6000多年前的大墩子遗址、新石器时期大汶口文化系统的刘林遗址、春秋时期的梁王城遗址以及战国时期的九女墩古墓群。运河沿线还蕴藏着大量的古生物化石，1988年考古学家在这里发掘的一对古象牙，距今已有40万年，是亚洲纳玛象象牙化石。此外，从这些遗址中还出土了一万多件精美的彩陶铜器、玉器、陶器等文物。溯水而上，沿途可以看到几座造型各异的大桥，与千年古运河交相辉映，形成崭新的人文景观。陇海铁路桥像一个钢铁巨人屹立在河面上，电影《大决战》、《车轮滚滚》里的一些精彩的镜头就是在这里取的景。,全年 全天开放，具体开放时间以景区现场公示为准。
徐州方特水上乐园,https://you.ctrip.com/sight/xuzhou230/148858181.html,4.8,(5),徐州市铜山区方特大道1号,https://dimg04.c-ctrip.com/images/1lo7112000f6te8xj39B8_C_220_140.jpg,徐州方特水上乐园是依托华强方特前沿技术和丰富运营经验，结合“熊出没”IP元素打造的一座沉浸式水上娱乐胜地。乐园拥有《飓风湾》《飞跃河谷》《彩虹滑道》《翻江倒海》《大喇叭》《熊出没水寨》等18个特色水上项目、多项主题造景，还有众多精彩的水上表演和互动活动，为您带来清凉酷爽的合家欢游乐体验。丰富多彩的水上娱乐项目，清新舒适的游乐环境，高品质的配套设施，贴心的服务体验，夏日炎炎，来徐州方特水上乐园，欢乐清凉一夏！,06/03-06/27 10:00-17:00开放;06/28-07/31 10:00-21:00开放
苏轼纪念馆,https://you.ctrip.com/sight/xuzhou230/136246361.html,5,(1),江苏省徐州市泉山区珠山东路云龙湖旅游景区苏公岛,https://dimg04.c-ctrip.com/images/0103612000bowywcl116A_C_220_140.jpg,苏轼纪念馆位于云龙湖景区小南湖苏公岛内，主体建筑为一院四厅，主要展示了苏轼任徐州知州期间理政业绩、文化业绩、家风家训等。,全年 09:00-17:30开放，具体营业状态以当天开放情况为准
邳州银杏时光隧道景区,https://you.ctrip.com/sight/pizhou1560/1788011.html,4.6,(50),江苏省徐州市邳州市G310与铁铁线交叉口西南侧800米,https://dimg04.c-ctrip.com/images/0102d120008e2dze30B35_C_220_140.jpg,银杏时光隧道长约3公里，道路两侧的银杏枝繁叶茂，树冠相交像一条隧道，一年四季皆可观赏。特别是每年秋冬季，隧道一片绚烂金黄，地上铺满落叶，许多摄影爱好者拿着长枪短炮前来取景。银杏时光隧道较好观赏时间是11月上中旬，观赏点在道路的南北两头或中间地段，可以用长焦拍出大景深。,
徐州大龙湖风景区,https://you.ctrip.com/sight/xuzhou230/133832.html,4.9,(88),江苏省徐州市云龙区环湖路(大龙湖地铁站旁),https://dimg04.c-ctrip.com/images/0103a120008k0o7xg7509_C_220_140.jpg,大龙湖及顺堤河景观带位于徐州新区起步区的中间地带，西邻拖龙山，南临迎宾大道，东及东南方向为徐州新城主要发展区。玉碧公共活动区和玉璜文化展示区位于湖区北片区，占地30余公顷。景区以自然为主题，营造休闲、健身、游憩与文化交流四项功能整合的大型城市滨水绿地。三个岛以不同的手法展现一种“湖中有岛，岛中有湖”的意境。大龙湖景区是新城区的自然氧吧和重要的旅游休闲场所。,全年 全天开放
