名称,主题,适合人群,主题详情,人群详情,评分,评论数,信息,opening_hours,主题列表,人群列表,enhanced_address
徐州开元森泊焕境乐园,"自然风光, 主题乐园, 夜游体验","亲子家庭, 学生团体, 摄影爱好者","{'自然风光': 6, '主题乐园': 2, '夜游体验': 2}","{'亲子家庭': 4, '学生团体': 3, '摄影爱好者': 2}",3.2,(6),徐州市泉山区湖西路1号,全年 09:00-18:00开放,[],[],徐州市泉山区湖西路1号
乾隆行宫(和平路),"历史遗迹, 博物馆, 宗教文化","文化爱好者, 学生团体, 老年人","{'历史遗迹': 3, '博物馆': 3, '宗教文化': 2}","{'文化爱好者': 15, '学生团体': 6, '老年人': 4}",4.4,(5),江苏省徐州市云龙区和平路118号,全年 周二-周日 09:00-17:00开放;全年 周一 全天不开放,[],[],江苏省徐州市云龙区和平路118号
彭祖园,"自然风光, 主题乐园, 文化演艺","亲子家庭, 老年人","{'自然风光': 6, '主题乐园': 6, '文化演艺': 2}","{'亲子家庭': 6, '老年人': 4, '摄影爱好者': 1}",4.6,(112),江苏省徐州市泉山区泰山路21号,全年 全天开放,[],[],江苏省徐州市泉山区泰山路21号
户部山古建筑群,"自然风光, 历史遗迹","文化爱好者, 学生团体, 老年人","{'自然风光': 4, '历史遗迹': 3}","{'文化爱好者': 3, '学生团体': 3, '老年人': 2}",4.4,(172),江苏省徐州市云龙区彭城街道户部茶街1号,全年 09:00-16:30开放,[],[],江苏省徐州市云龙区彭城街道户部茶街1号
中国国家地理《探索 极致发现》科学艺术影像展,"自然风光, 文化演艺, 科普教育","文化爱好者, 学生团体, 情侣","{'自然风光': 4, '文化演艺': 2, '科普教育': 2}","{'文化爱好者': 6, '学生团体': 3, '情侣': 2}",5,(1),和平大道与东三环快速路交汇处(黄山垅地铁站旁)爱琴海购物中心五楼,04/03-10/19 周四-周日 全天开放;04/03-10/19 周一-周三 全天不开放，开始时间及时长以现场为准,[],[],江苏省徐州市沛县和平大道与东三环快速路交汇处(黄山垅地铁站旁)爱琴海购物中心五楼
彭城广场,"两汉文化, 城市公园","通用, 文化爱好者","{'两汉文化': 3, '城市公园': 2}",{},4.6,(29),江苏省徐州市鼓楼区中山北路2号,全年 全天开放，具体营业状态以当天开放情况为准,[],[],江苏省徐州市鼓楼区中山北路2号
艾山风景名胜区,"宗教文化, 自然风光, 历史遗迹",摄影爱好者,"{'宗教文化': 6, '自然风光': 6, '历史遗迹': 3}",{'摄影爱好者': 2},4.4,(288),江苏省徐州市邳州市铁富镇G310与邳铁线交汇处,全年 08:30-16:30开放,[],[],江苏省徐州市邳州市铁富镇G310与邳铁线交汇处
徐州民俗博物馆,"博物馆, 自然风光, 文化演艺","文化爱好者, 学生团体, 老年人","{'博物馆': 11, '自然风光': 2, '文化演艺': 2}","{'文化爱好者': 18, '学生团体': 8, '老年人': 4}",4.5,(83),江苏省徐州市云龙区户部山崔家巷2号,全年 09:00-17:00开放,[],[],江苏省徐州市云龙区户部山崔家巷2号
泰山,自然风光,通用,{'自然风光': 2},{},5,(3),江苏省徐州市泉山区泰山路与金山东路交叉口东北150米,,[],[],江苏省徐州市泉山区泰山路与金山东路交叉口东北150米
徐州 · 【肆笑喜剧】丨爆笑脱口秀,其他,通用,{},{},无评分,(暂无点评),江苏省徐州市徐州市鼓楼区金地商都一期四层033商铺,待定，演出时间及演出时长以现场为准,[],[],江苏省徐州市徐州市鼓楼区金地商都一期四层033商铺
壹捌夜市,"美食购物, 自然风光, 主题乐园","文化爱好者, 学生团体, 亲子家庭","{'美食购物': 4, '自然风光': 2, '主题乐园': 2}","{'文化爱好者': 3, '学生团体': 3, '亲子家庭': 2}",4.5,(2),江苏省徐州市鼓楼区黄楼街道中山北路8号,1/1-12/31 全天开放,[],[],江苏省徐州市鼓楼区黄楼街道中山北路8号
刘邦故里文化景区,"两汉文化, 自然风光","文化爱好者, 学生团体, 老年人","{'两汉文化': 9, '自然风光': 4}","{'文化爱好者': 6, '学生团体': 6, '老年人': 4}",5,(1),江苏省徐州市丰县518国道赵庄镇金刘寨村汉皇祖陵内(南侧),全年 08:30-17:00开放,[],[],江苏省徐州市丰县518国道赵庄镇金刘寨村汉皇祖陵内(南侧)
水下兵马俑馆,"两汉文化, 博物馆",文化爱好者,"{'两汉文化': 6, '博物馆': 3}",{'文化爱好者': 3},4,(6),徐州市云龙区兵马俑路1号,具体开放时间请咨询景区,[],[],徐州市云龙区兵马俑路1号
徐州动物园,"自然风光, 文化演艺",亲子家庭,"{'自然风光': 4, '文化演艺': 2}","{'亲子家庭': 2, '摄影爱好者': 1}",4.2,(79),徐州市泉山区泰山路21-1号,全年 08:00-17:30开放,[],[],徐州市泉山区泰山路21-1号
徐州小桂林,自然风光,通用,{'自然风光': 2},{'摄影爱好者': 1},1,(1),江苏省徐州鼓楼区中山北路九里山高尔夫球场院内,具体营业状态以当天开放情况为准,[],[],江苏省徐州市鼓楼区江苏省徐州鼓楼区中山北路九里山高尔夫球场院内
茱萸山滑雪场,"冬季运动, 自然风光, 主题乐园","亲子家庭, 年轻人, 老年人","{'冬季运动': 6, '自然风光': 4, '主题乐园': 4}","{'亲子家庭': 8, '年轻人': 4, '老年人': 2}",4.7,(11),江苏省徐州市贾汪区茱萸路茱萸欢乐谷旁边,12/20-02/28 09:00-21:00开放;03/01-12/19 全天不开放,[],[],江苏省徐州市贾汪区茱萸路茱萸欢乐谷旁边
徐州督公山滑雪乐园,"自然风光, 冬季运动, 主题乐园","年轻人, 亲子家庭","{'自然风光': 10, '冬季运动': 4, '主题乐园': 2}","{'年轻人': 4, '亲子家庭': 2, '摄影爱好者': 1}",4.3,(136),江苏省徐州市贾汪区徐州东城绕越高速督公湖风景区内,12/20-03/02 08:00-17:00开放;03/03-06/08 全天不开放;06/09-10/07 08:00-17:00开放;10/08-12/19 全天不开放,[],[],江苏省徐州市贾汪区徐州东城绕越高速督公湖风景区内
墨上集·拾光影城,"自然风光, 主题乐园, 文化演艺","文化爱好者, 老年人, 学生团体","{'自然风光': 2, '主题乐园': 2, '文化演艺': 2}","{'文化爱好者': 6, '老年人': 6, '学生团体': 6}",3.8,(10),江苏省徐州市贾汪区龙山路与山水大道交汇处北墨上集,01/08-01/28 09:00-18:00开放;02/04-04/30 09:00-18:00开放;05/06-12/31 09:00-18:00开放;01/29-02/03 09:00-20:00开放;05/01-05/05 09:00-20:00开放,[],[],江苏省徐州市贾汪区龙山路与山水大道交汇处北墨上集
徐州启迪乔波冰雪世界,"冬季运动, 自然风光, 主题乐园","亲子家庭, 年轻人","{'冬季运动': 6, '自然风光': 4, '主题乐园': 2}","{'亲子家庭': 4, '年轻人': 3, '情侣': 1}",4.5,(10),江苏省徐州市云龙区翠屏山街道和平大道118号万科新淮中心F1,全年 周一-周四 10:00-18:00开放;全年 周五-周日 10:00-20:00开放,[],[],江苏省徐州市云龙区翠屏山街道和平大道118号万科新淮中心F1
点石园石刻艺术馆,文化演艺,"文化爱好者, 情侣",{'文化演艺': 2},"{'文化爱好者': 3, '情侣': 2}",4.6,(27),徐州市鼓楼区襄王北路3号,5/1-9/30 08:30-17:30开放;10/1-4/30 08:30-17:00开放,[],[],徐州市鼓楼区襄王北路3号
徐州吕梁风景区,"自然风光, 历史遗迹, 主题乐园","文化爱好者, 学生团体, 老年人","{'自然风光': 8, '历史遗迹': 6, '主题乐园': 2}","{'文化爱好者': 12, '学生团体': 9, '老年人': 6}",4.6,(5),徐州市铜山区X309,全年 全天开放,[],[],徐州市铜山区X309
徐州轮胎乐园,主题乐园,"亲子家庭, 学生团体, 年轻人","{'主题乐园': 4, '科普教育': 1}","{'亲子家庭': 6, '学生团体': 3, '年轻人': 2}",4.8,(22),徐州市铜山区汉王镇纪信路轮胎乐园（月亮湾马术俱乐部隔壁）,全年 周一-周五 09:00-17:00开放;全年 周六-周日 09:00-17:30开放,[],[],徐州市铜山区汉王镇纪信路轮胎乐园（月亮湾马术俱乐部隔壁）
徐州园博园涵田度假村温泉,自然风光,通用,{'自然风光': 4},{},4,(8),江苏省徐州市铜山区309县道崔贺庄水库管理所隔壁（吕梁风景区内）,07/05-12/31 周五-周六 12:00-23:22开放;07/05-12/31 周日 10:00-21:00开放;07/05-12/31 周一-周四 全天不开放;06/10-07/04 周六 10:00-22:00开放;06/10-07/04 周日 10:00-20:00开放;06/10-07/04 周一-周五 全天不开放,[],[],江苏省徐州市铜山区309县道崔贺庄水库管理所隔壁（吕梁风景区内）
小南湖,自然风光,"情侣, 摄影爱好者",{'自然风光': 4},"{'情侣': 2, '摄影爱好者': 2}",4.8,(98),江苏省徐州市泉山区金山南路徐州云龙湖风景区内,全年 全天开放,[],[],江苏省徐州市泉山区金山南路徐州云龙湖风景区内
徐州蟠桃山佛教文化景区,"宗教文化, 自然风光","老年人, 文化爱好者, 学生团体","{'宗教文化': 8, '自然风光': 2}","{'老年人': 4, '文化爱好者': 3, '学生团体': 3}",4.6,(163),鼓楼区经济技术开发区宝莲寺路5号,全年 07:00-17:00开放,[],[],江苏省徐州市鼓楼区鼓楼区经济技术开发区宝莲寺路5号
沛县汉城景区,"两汉文化, 自然风光, 博物馆","老年人, 文化爱好者, 学生团体","{'两汉文化': 15, '自然风光': 4, '博物馆': 3}","{'老年人': 8, '文化爱好者': 6, '学生团体': 3}",4.3,(104),汉城南路1号,全年 08:30-17:00开放，具体营业状态以当天开放情况为准,[],[],江苏省徐州市沛县汉城南路1号
徐州百乐汤汗蒸汤泉,"主题乐园, 水上活动","亲子家庭, 老年人, 情侣","{'主题乐园': 2, '水上活动': 2, '城市公园': 1}","{'亲子家庭': 6, '老年人': 2, '情侣': 2}",5,(4),江苏省徐州市鼓楼区环城路63号和信广场三期G座B1层商铺,全年 全天开放,[],[],江苏省徐州市鼓楼区环城路63号和信广场三期G座B1层商铺
徐州金龙湖风景区,自然风光,"摄影爱好者, 老年人, 情侣","{'自然风光': 10, '城市公园': 1}","{'摄影爱好者': 3, '老年人': 2, '情侣': 2}",4.9,(95),江苏省徐州经济开发区龙湖西路与龙湖南路交叉口东北角,全年 全天开放,[],[],江苏省徐州市睢宁县江苏省徐州经济开发区龙湖西路与龙湖南路交叉口东北角
沛县博物馆,"博物馆, 两汉文化","文化爱好者, 学生团体","{'博物馆': 11, '两汉文化': 3}","{'文化爱好者': 9, '学生团体': 2}",4.9,(10),江苏省徐州市沛县汉邦路7号,1/1-12/31 08:30-17:00开放,[],[],江苏省徐州市沛县汉邦路7号
徐州汉画像石馆,"两汉文化, 历史遗迹, 自然风光","文化爱好者, 学生团体, 老年人","{'两汉文化': 6, '历史遗迹': 6, '自然风光': 4}","{'文化爱好者': 6, '学生团体': 3, '老年人': 2}",4.7,(91),江苏省徐州市泉山区云龙湖东路5-1号,"全年 周二-周日 09:00-17:00开放;全年 周一 全天不开放;元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 09:00-17:00开放",[],[],江苏省徐州市泉山区云龙湖东路5-1号
徐州水族展览馆,"自然风光, 博物馆, 水上活动","文化爱好者, 学生团体, 亲子家庭","{'自然风光': 8, '博物馆': 3, '水上活动': 2}","{'文化爱好者': 9, '学生团体': 3, '亲子家庭': 2}",4.4,(119),江苏省徐州市泉山区湖中路1号,全年 09:00-17:00开放,[],[],江苏省徐州市泉山区湖中路1号
兴化禅寺,"宗教文化, 自然风光, 博物馆","文化爱好者, 学生团体, 老年人","{'宗教文化': 8, '自然风光': 6, '博物馆': 3}","{'文化爱好者': 6, '学生团体': 3, '老年人': 2}",4.4,(26),徐州市泉山区云东一道街32号,全年 08:00-17:00开放;全年 08:00-16:30开放,[],[],徐州市泉山区云东一道街32号
徐州城下城遗址博物馆,"博物馆, 两汉文化, 历史遗迹","文化爱好者, 学生团体, 老年人","{'博物馆': 8, '两汉文化': 3, '历史遗迹': 3}","{'文化爱好者': 9, '学生团体': 5, '老年人': 2}",无评分,(暂无点评),江苏省徐州市鼓楼区中山北路彭城广场地下,全年 周二-周日 10:00-21:00开放，每周一闭馆（法定节假日除）。,[],[],江苏省徐州市鼓楼区中山北路彭城广场地下
歌风台,"两汉文化, 博物馆, 自然风光","文化爱好者, 老年人","{'两汉文化': 9, '博物馆': 3, '自然风光': 2}","{'文化爱好者': 3, '老年人': 2}",4,(66),徐州市沛县汉街沛县汉城景区,全年 06:30-17:30开放;全年 18:30-22:00开放,[],[],徐州市沛县汉街沛县汉城景区
通天阁,其他,通用,{},{},5,(1),宝莲寺路5号宝莲寺内,,[],[],江苏省徐州市鼓楼区宝莲寺路5号宝莲寺内
东兴街夜市(万达广场徐州云龙店),"美食购物, 主题乐园",通用,"{'美食购物': 3, '主题乐园': 2, '城市公园': 1}",{},无评分,(暂无点评),江苏省徐州市云龙区和平大道58号万达广场F1,全年 12:00-23:00开放,[],[],江苏省徐州市云龙区和平大道58号万达广场F1
徐州之夜,其他,通用,{},{},无评分,(暂无点评),徐州市贾汪区湖西路与乌金路交叉路口往南约260米,,[],[],徐州市贾汪区湖西路与乌金路交叉路口往南约260米
老东门今雨天地街区,"两汉文化, 历史遗迹, 博物馆","文化爱好者, 学生团体, 老年人","{'两汉文化': 3, '历史遗迹': 3, '博物馆': 3}","{'文化爱好者': 9, '学生团体': 6, '老年人': 4}",4.1,(54),江苏省徐州市云龙区淮海东路104号,具体营业状态以当天开放情况为准,[],[],江苏省徐州市云龙区淮海东路104号
户部山步行街,"两汉文化, 历史遗迹, 自然风光","文化爱好者, 学生团体, 老年人","{'两汉文化': 3, '历史遗迹': 3, '自然风光': 2}","{'文化爱好者': 9, '学生团体': 6, '老年人': 4}",4,(4),云龙区,具体营业状态以当天开放情况为准,[],[],江苏省徐州市云龙区云龙区
徐州文庙东方街区-鼓楼,宗教文化,通用,{'宗教文化': 2},{},5,(1),江苏省徐州市鼓楼区文庙街区(彭城广场地铁站18号口步行100米),,[],[],江苏省徐州市鼓楼区文庙街区(彭城广场地铁站18号口步行100米)
大运河,"历史遗迹, 自然风光, 博物馆","文化爱好者, 学生团体, 老年人","{'历史遗迹': 12, '自然风光': 4, '博物馆': 3}","{'文化爱好者': 12, '学生团体': 6, '老年人': 4}",4.8,(88),徐州市邳州市京杭运河(沿河路南200米),全年 全天开放，具体开放时间以景区现场公示为准。,[],[],徐州市邳州市京杭运河(沿河路南200米)
徐州方特水上乐园,"主题乐园, 自然风光, 水上活动",亲子家庭,"{'主题乐园': 10, '自然风光': 2, '水上活动': 2}",{'亲子家庭': 4},4.8,(5),徐州市铜山区方特大道1号,06/03-06/27 10:00-17:00开放;06/28-07/31 10:00-21:00开放,[],[],徐州市铜山区方特大道1号
苏轼纪念馆,"博物馆, 自然风光","文化爱好者, 学生团体, 老年人","{'博物馆': 8, '自然风光': 2}","{'文化爱好者': 6, '学生团体': 5, '老年人': 2}",5,(1),江苏省徐州市泉山区珠山东路云龙湖旅游景区苏公岛,全年 09:00-17:30开放，具体营业状态以当天开放情况为准,[],[],江苏省徐州市泉山区珠山东路云龙湖旅游景区苏公岛
邳州银杏时光隧道景区,其他,摄影爱好者,{},{'摄影爱好者': 2},4.6,(50),江苏省徐州市邳州市G310与铁铁线交叉口西南侧800米,,[],[],江苏省徐州市邳州市G310与铁铁线交叉口西南侧800米
徐州大龙湖风景区,自然风光,"老年人, 文化爱好者, 学生团体","{'自然风光': 12, '城市公园': 1}","{'老年人': 4, '文化爱好者': 3, '学生团体': 3}",4.9,(88),江苏省徐州市云龙区环湖路(大龙湖地铁站旁),全年 全天开放,[],[],江苏省徐州市云龙区环湖路(大龙湖地铁站旁)
